timestamp,tweet_text,all_hashtags,retweet_count,tweet_created_at, username,followers_count
5/3/2021 1:00,b'$penn $mara $aal $tsla $opti $spy $srne $coin $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc  $gme $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',[],0,5/3/2021 1:00,b'Right__Stocks',988
5/3/2021 1:10,b'@Aal_Moalim Has this lame statement actually been said by a Muslim woman ?',[],0,5/3/2021 1:10,b'AMasafir',8
5/3/2021 1:19,"b""But there is no shortage of platitudes from @narendramodi's ministers saying \xe2\x80\x9cAal is well! No need to panic\xe2\x80\x9d. No shortage of politicking &amp; blame game. In Delhi the LG (read @BJP4India) notified that henceforth all executive action will require his approval under a new law.""",[],0,5/3/2021 1:19,b'powerofyogesh',4421
5/3/2021 1:19,"b""So recently I've observed that the word 'baba' in nohas makes me cry a lot.  I don\xe2\x80\x99t even call my own father baba - but in mournful poetry, no other word carries the weight of all the calamities that have befallen Aal e Mohammad. (1/n)""",[],0,5/3/2021 1:19,b'wrongsidenose',200
5/3/2021 1:22,"b'\xe2\x80\x9cAllaah (Alone) is Sufficient for us, and He is the Best Disposer of Affairs (for us).\xe2\x80\x9d \xe2\x80\x9cThe Quran Aal \xe2\x80\x98Imraan 3:171\xe2\x80\xb3'",[],0,5/3/2021 1:22,b'OrsaCorp',147
5/3/2021 1:24,b'#StockPick for next week! #rap #rapper #stockmarket #stonks #stocks $dkng $penn $czr $tsla $btc $doge $eth $cciv $el #earnings #L #pfe $gm $aapl $sndl $amc $gme $nio $ge $ccl $dis $f $msft $amzn $nok $plug $aal $acb $snap $coin $bac $fb $mrna $cgc $amd $twtr $ko $bb $ba $uber https://t.co/kXPNeIJ8P3',"['StockPick', 'rap', 'rapper', 'stockmarket', 'stonks', 'stocks', 'earnings', 'L', 'pfe']",6,5/3/2021 1:24,b'CassiusCuvee',3481
5/3/2021 1:45,b'@salesmaverick__ @HustlingForever @EliteIncome_ @WealthMail @srowlands @NicoJamesBCN @MyBetaMod @ApprovedSide @PhilosophyVK_ @theinspiringco_ @AAL_________ Thank you so much for including me! Honored\xf0\x9f\x99\x8f',[],0,5/3/2021 1:45,b'The_MMW',35944
5/3/2021 1:53,"b'Quote from the Holy Qur\'an: Aal-i-Imraan (3:45)  Behold! the angels said: ""O Mary! Allah giveth thee glad tidings of a Word from Him: his name will be Christ Jesus, the son of Mary, held in honour in this world and the Hereafter and of (the company of) those nearest to Allah;'",[],14,5/3/2021 1:53,b'L_man__',11324
5/3/2021 1:59,b'@incognitojones_ They ejected marcus smart for bs in the clutch refs wanted Portland win aal cost',[],0,5/3/2021 1:59,b'Nayglizzy1',1128
5/3/2021 2:06,"b'The most accurate indicator of 90% hit on BTC signals, we can do a lot \xf0\x9f\x91\x89 https://t.co/A6hmAqUmXn  $pfe $sunw $gevo $mara $vxrt $aapl $ibio $wkhs $gme $rkt $penn $opti $fsly $uxin $nio $mrna $xspa $fb $aal $spy $msft $boxl $nkla $novn $ino $dkng $tsla $spaq $spce $hd $NFT https://t.co/hRFLiP4COT'",[],0,5/3/2021 2:06,b'Courtne79284795',12
5/3/2021 2:06,b'@gamansanthal72 @JivrajaalOffice @JivrajAal @jivrajaalsena Happy birthday AAL Saheb',[],0,5/3/2021 2:06,b'BharatDAAL1',138
5/3/2021 2:08,"b'@aalgar @FredCStresing Do it, Aal...do the Batman \xe2\x80\x9889 re-watch! I did it my own self a few years ago\xe2\x80\x94no regrets.'",[],0,5/3/2021 2:08,b'lorincaricature',211
5/3/2021 2:13,"b'Aal-e-Imran 3:178  And let not those who disbelieve ever think that [because] We extend their time [of enjoyment] it is better for them. We only extend it for them so that they may increase in sin, and for them is a humiliating punishment.'",[],0,5/3/2021 2:13,b'2babsky78',1843
5/3/2021 2:14,b'@AAL_________ The blueprint. Never miss a day and you will win on Twitter.',[],0,5/3/2021 2:14,b'StoicWealth_',5132
5/3/2021 2:18,"b'@marymonbb @OfficialMonstaX Great choices! Fatal Love is amazing and so is AAL and Follow. Good luck, bebe!'",[],0,5/3/2021 2:18,b'anselimnida',683
5/3/2021 2:18,"b'Aal-e-Imran 3:199  And indeed, among the People of the Scripture are those who believe in Allah and what was revealed to you and what was revealed to them, [being] humbly submissive to Allah. They do not exchange the verses of Allah for a small price.'",[],0,5/3/2021 2:18,b'2babsky78',1843
5/3/2021 2:21,b'Please read the Tweet is concerned to @ECISVEEP @SpokespersonECI @CEOWestBengal @BJP4India @BJP4Bengal  As I am resident of bengal here aal people says that they had cast vote to BJP but what happened after result. I think TMC are doing unfair counting as all countng ocurs localy',[],0,5/3/2021 2:21,b'Status_Gang',1
5/3/2021 2:22,b'el anuncio del iphone con candyman de fondo that shit satisfying',[],0,5/3/2021 2:22,b'special_aal',55
5/3/2021 2:27,b'Sun News admin ah vida peria aal pola this admin  Pics selection \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/zvrUakln86',[],0,5/3/2021 2:27,b'Cinema_Soul',246
5/3/2021 2:32,"b""@EricRWeinstein @TosinAbasi @rickbeato @thew6rst @mishaperiphery Please do a podcast with Misha. Periphery is one of my favorite bands (AAL and Polyphia are also amazing). Misha is hilarious and extremely knowledgeable. Can't wait to hear this talk!""",[],0,5/3/2021 2:32,b'JustinDittburn1',19
5/3/2021 2:34,b'$penn $mara $aal $tsla $opti $spy $srne $coin $sunw  $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $nio $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  WE ALERTED $MVIS at $10 RAN TO $25 (150% GAIN)  DAILY ALERTS  $15 ONE TIME!  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',[],0,5/3/2021 2:34,b'Right__Stocks',988
5/3/2021 2:35,"b'@EarnYourLife_ @DrRalphNap @The_SmartMoney @AAL_________ @srowlands @KingMakerIQ @MyBetaMod @MidnightUDog @iamhasscr @JayThaDeveloper @KtHUSTLES Thank you for the mention, EYL! Great group to be apart of \xf0\x9f\x99\x8c'",[],0,5/3/2021 2:35,b'ianpowelly',2154
5/3/2021 2:35,b'@moonllate61 Ougheyyy aal',[],0,5/3/2021 2:35,b'silmongsil',252
5/3/2021 2:37,b'@AAL_________ Curate your timeline to only show things that inspire you.',[],0,5/3/2021 2:37,b'StoicWealth_',5132
5/3/2021 2:39,b'@AmericanAir If your company is truly sorry then they should take the steps to provide their customers with better service - pilots asking those who do not have connections to wait allowing connections the time they need to get to the gate (especially when both flights are #americanairlines )',['americanairlines'],0,5/3/2021 2:39,b'JennaMooreRD',105
5/3/2021 2:41,"b""Who sees what is see with the Flights Per Day Trend?  SHHH I'm hunting Airlines $LUV $UAL $DAL $AAL $SAVE $BA https://t.co/XNeDElp9zH""",[],0,5/3/2021 2:41,b'So_FL_Trader',995
5/3/2021 2:47,"b'@moonllate61 @christaline_ Donee ya aal, wish me luck \xf0\x9f\x98\x81'",[],0,5/3/2021 2:47,b'youtyta',20
5/3/2021 2:48,b'@ArunJose2721998 @Dineshvjd @Anilblasters @cinemapatti Avarr mari nallavar yarum illa bro.... Never used his fans ...proper ah IT  katuna orae aal ..hardworker   more knowledgeable person than vijay.   Multitalented guy than vijay .. Not afraid of anyone ...',[],0,5/3/2021 2:48,b'sundarraaj901',479
5/3/2021 2:50,"b'@moonllate61 @christaline_ done , pick me kak aal https://t.co/zkoR0a8NgS'",[],0,5/3/2021 2:50,b'jaeciess',281
5/3/2021 3:07,"b'$UAL and $AAL, hanging in there. Arguably set up for more up or more jello. Not bearish right here. https://t.co/FBwyqhlIMm'",[],0,5/3/2021 3:07,b'Shack_SI',471
5/3/2021 3:13,"b'Dear @AmericanAir thought you might like this photo.  Sunrise at your ORD  hub, with the beautiful Chicago skyline in the background. #AmericanAirlines #ord #Chicago #travel https://t.co/9vtk5pU66g'","['AmericanAirlines', 'ord', 'Chicago', 'travel']",1,5/3/2021 3:13,b'katsjourney',1630
5/3/2021 3:15,b'@EarnYourLife_ @DrRalphNap @The_SmartMoney @AAL_________ @srowlands @KingMakerIQ @MyBetaMod @MidnightUDog @iamhasscr @ianpowelly @KtHUSTLES Thank you my man \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbe',[],0,5/3/2021 3:15,b'JayThaDeveloper',2269
5/3/2021 3:19,b'$penn $mara $aal $tsla $opti $spy $srne $coin  $sunw $dkng $aapl $hexo $ibio $vxrt $acb $fb $amc $gme $fsr $cciv $msft $mvis $snap $fubo $wkhs $sndl $pltr $ocgn $amd $nakd  ALERTED $NIO at $6.1 RAN TO $35 (480% GAIN)  DAILY ALERTS  $15 ONE TIME FEE  BEAT THAT \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xf0\x9f\x9a\xa8LINK IN BIO\xf0\x9f\x9a\xa8',[],0,5/3/2021 3:19,b'Right__Stocks',988
5/3/2021 3:19,b'@One_PiusJadwar Take out the trash',[],0,5/3/2021 3:19,b'aal_hunt',85
5/3/2021 3:23,b'My friends: *boo\xe2\x80\x99d up* or *outside doing hood rat shit* Me: https://t.co/yy7zpokxRj',[],0,5/3/2021 3:23,b'AAL_Savage_',694
5/3/2021 3:25,b'@eddykenzoficial Like we still care MF',[],0,5/3/2021 3:25,b'aal_hunt',85
5/3/2021 3:30,b'You can earn in five figures from twitter easily if you put in 6 months of focused work',[],5,5/3/2021 3:30,b'AAL_________',8293
5/3/2021 3:30,"b""its no coincidence that they have more adult fans. that is their audience lmao. just look at AAL. they decided to promote w that cuz they know who's listening lmao""",[],9,5/3/2021 3:30,b'Kookiecake4',2915
